lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
himself,pronoun_anchor,True,P:he,full,item,none,jaccard,fixed_total,154,28,40,16,20000,0.5544959715593212,0.0,0.0,4.999750012499375e-05,0.8315156262630702,0.8956738576387601,0.9452307850861008,0.7604470414613891,0.0001,7.070891024120918e-05,0.00014999250037498125,0.8326332457872,0.9033656056932742,0.9574398301941561,-0.2059510699020679,0.0,0.0,4.999750012499375e-05,-0.07685033857862397,-0.007820673076489038,0.061536680404124675
his,pronoun_anchor,True,P:he,full,item,none,jaccard,fixed_total,154,37,40,16,20000,0.4880424328803258,0.0,0.0,4.999750012499375e-05,0.8164682941351027,0.8775004261443409,0.9289303362873602,0.742109479495717,0.0001,7.070891024120918e-05,0.00014999250037498125,0.8199381747824406,0.8888120633115183,0.9432133014933904,-0.25406704661539126,0.0,0.0,4.999750012499375e-05,-0.07900680110993517,-0.010360815443537397,0.058709221590837815
she,pronoun_anchor,True,P:she,full,item,none,jaccard,fixed_total,154,22,40,16,20000,0.5437060085442913,0.0,0.0,4.999750012499375e-05,0.8451793001862845,0.9095850940553132,0.9579916572493133,0.8139626829453532,0.00425,0.00046000810359467443,0.0042997850107494625,0.8434725853072849,0.9159991860446445,0.969293977179145,-0.27025667440106194,0.0,0.0,4.999750012499375e-05,-0.07522029031921913,-0.0065701591147869776,0.06386815497751666
her_acc,pronoun_anchor,True,P:she,full,item,none,jaccard,fixed_total,154,28,40,16,20000,0.4930180702731975,0.0,0.0,4.999750012499375e-05,0.8331787053865595,0.8952673635976258,0.945716176476876,0.7834820942999944,0.00105,0.00022901418596861793,0.0010999450027498626,0.8331409518258411,0.9037873834854553,0.9586136569946393,-0.2904640240267969,0.0,0.0,4.999750012499375e-05,-0.07549288559434024,-0.008018928082437593,0.06217092697781504
her_dep,pronoun_anchor,True,P:she,full,item,none,jaccard,fixed_total,154,38,40,16,20000,0.5812561284877116,0.0,0.0,4.999750012499375e-05,0.8153540328859256,0.8770786116449123,0.9282343072232013,0.833527924107552,0.05475,0.0016086488935013533,0.05479726013699315,0.81999461607963,0.887514990192525,0.9411608233972529,-0.2522717956198405,0.0,0.0,4.999750012499375e-05,-0.07726215206245546,-0.010231329499662267,0.05849864997252684
hers,pronoun_anchor,True,P:she,full,item,none,jaccard,fixed_total,154,36,40,16,20000,0.47791410019263125,0.0,0.0,4.999750012499375e-05,0.816747323674133,0.8798516256878194,0.9309833563299591,0.7386792842136854,0.0,0.0,4.999750012499375e-05,0.8213572740499621,0.8903863994798221,0.9437257391971621,-0.2607651840210542,0.0,0.0,4.999750012499375e-05,-0.07705965024335351,-0.010144344623789214,0.05910829336649235
herself,pronoun_anchor,True,P:she,full,item,none,jaccard,fixed_total,154,29,40,16,20000,0.5354097698147917,0.0,0.0,4.999750012499375e-05,0.8287304164314394,0.8936534484160557,0.9437339886024191,0.7657781804126589,0.0003,0.00012245917610571543,0.00034998250087495624,0.8304355809979735,0.901511257113183,0.9557359294924364,-0.23036841059786717,0.0,0.0,4.999750012499375e-05,-0.07626755679562029,-0.008538022187566385,0.06282166518314586
it_plain,pronoun_anchor,True,P:it,full,item,none,jaccard,fixed_total,154,21,40,16,20000,0.5972949366244504,0.0,0.0,4.999750012499375e-05,0.8497653803138314,0.9129028222077737,0.9606645961630427,0.8040189737051582,0.0018,0.00029973737191849503,0.0018499075046247689,0.8483555261339452,0.9190535378905524,0.9719567703903189,-0.20672403708070775,0.0,0.0,4.999750012499375e-05,-0.0742017191561034,-0.005686046608180839,0.06448003634276851
it_dum,pronoun_anchor,True,P:it,full,item,none,jaccard,fixed_total,154,15,40,16,20000,0.7647617862771637,0.0,0.0,4.999750012499375e-05,0.8695744887144444,0.9310301393917133,0.9757627433250077,0.8077558632194837,0.0004,0.00014139660409635905,0.00044997750112494374,0.8661571020119507,0.9352269823581514,0.9834750319763435,-0.042994076942319936,0.11915,0.002290835278083862,0.1191940402979851,-0.06969277971123128,-0.004035246626511557,0.06460044301273045
its,pronoun_anchor,True,P:it,full,item,none,jaccard,fixed_total,154,30,40,16,20000,0.6031273246257807,0.0,0.0,4.999750012499375e-05,0.8270349010366468,0.8912145773980478,0.9415583846408844,0.7895659837852846,0.00195,0.00031195310663148854,0.00199990000499975,0.8295852862804934,0.8997624778816159,0.954154467869505,-0.18643865915950397,0.0,0.0,4.999750012499375e-05,-0.07670860203080579,-0.0085990937993633,0.06146865351841466
itself,pronoun_anchor,True,P:it,full,item,none,jaccard,fixed_total,154,27,40,16,20000,0.6077943668553462,0.0,0.0,4.999750012499375e-05,0.8339768805030396,0.8975985670863258,0.9477528314768441,0.7395259141501344,0.0,0.0,4.999750012499375e-05,0.8334737123547041,0.9056937367173151,0.9602514736046447,-0.1317315472947882,0.00025,0.0001117922174169282,0.0002999850007499625,-0.07691442723256396,-0.0076566494982863165,0.06282760615772524
I,pronoun_anchor,True,P:I,full,item,none,jaccard,fixed_total,154,21,40,16,20000,0.5527598492087257,0.0,0.0,4.999750012499375e-05,0.8491780425259895,0.9124817878066112,0.9604020249566315,0.8313743634948705,0.00975,0.0006948172519092178,0.009799510024498775,0.8478343908698571,0.9193099006065693,0.9705046648508094,-0.2786145142861448,0.0,0.0,4.999750012499375e-05,-0.07421464360469182,-0.0062150726780040855,0.06315431965690864
me,pronoun_anchor,True,P:I,full,item,none,jaccard,fixed_total,154,27,40,16,20000,0.5251018423694485,0.0,0.0,4.999750012499375e-05,0.8337343354101856,0.8978186199837466,0.9477249029066929,0.8254103533032192,0.0134,0.0008130529212496794,0.01344932753362332,0.8356293238960874,0.9056097142031116,0.9602143570024925,-0.30030851093377076,0.0,0.0,4.999750012499375e-05,-0.07523715468169635,-0.007763735866431365,0.061294511636524364
mine,pronoun_anchor,True,P:I,full,item,none,jaccard,fixed_total,154,36,40,16,20000,0.4487180376377277,0.0,0.0,4.999750012499375e-05,0.8176105515437644,0.87975495066607,0.9311203702553598,0.7386792842136854,5e-05,4.9999999999999996e-05,9.99950002499875e-05,0.82178438544197,0.890458455782855,0.9442582616071254,-0.28996124657595773,0.0,0.0,4.999750012499375e-05,-0.07825393495394048,-0.010363178742757717,0.059399719148079455
my,pronoun_anchor,True,P:I,full,item,none,jaccard,fixed_total,154,37,40,16,20000,0.5871887261817653,0.0,0.0,4.999750012499375e-05,0.816707796125324,0.8781839237540681,0.929122656028142,0.8462358725204688,0.1021,0.002141029822406737,0.10214489275536223,0.8216379950102208,0.8887798009438511,0.9419918082959996,-0.2590471463387035,0.0,0.0,4.999750012499375e-05,-0.07717546895810365,-0.010129453896522145,0.05954237573518874
myself,pronoun_anchor,True,P:I,full,item,none,jaccard,fixed_total,154,29,40,16,20000,0.5262177395510541,0.0,0.0,4.999750012499375e-05,0.8297024900260949,0.8929516333891507,0.9435434156381033,0.7657781804126589,0.0002,9.999249934368202e-05,0.00024998750062496874,0.8317294167860649,0.901031079305967,0.9563225014296189,-0.23956044086160477,0.0,0.0,4.999750012499375e-05,-0.07555004613233755,-0.007870780071058792,0.0627303286220067
their_sing,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,38,40,16,20000,0.5780491743191783,0.0,0.0,4.999750012499375e-05,0.814729058069354,0.8765297531116399,0.9272295434733597,0.8225295474841754,0.02935,0.0011935242351980122,0.029398530073496326,0.8200564252231418,0.8873103202734576,0.941528640573385,-0.24448037316499704,0.0,0.0,4.999750012499375e-05,-0.07815493840470741,-0.010589213678629361,0.05768003113542317
theirs_sing,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,38,40,16,20000,0.4881000380130045,0.0,0.0,4.999750012499375e-05,0.8149388488562812,0.8767089177328802,0.926837356061752,0.7363382052546872,0.0,0.0,4.999750012499375e-05,0.8185548184182159,0.8868166767503534,0.9408599739911097,-0.24823816724168268,0.0,0.0,4.999750012499375e-05,-0.0771263090600132,-0.01013275994427848,0.0579028271253375
their_plur,pronoun_anchor,True,P:they,full,item,none,jaccard,fixed_total,154,36,40,16,20000,0.596124537672239,0.0,0.0,4.999750012499375e-05,0.8167241728308364,0.8801310545513457,0.9310069064982599,0.8383749516119797,0.06405,0.0017313375613922247,0.06409679516024198,0.8218314674280932,0.8906218580421108,0.945029276437154,-0.24225041393974067,0.0,0.0,4.999750012499375e-05,-0.07769541850255642,-0.010552089024362943,0.05989159670406562
