pool,holdout,drop,metric,controls_correct,n_controls,p_max,c_min,both_targets_in_gap
nonlocative,item,morph,idf_jaccard,53,53,-0.03477224913001431,0.2731501081784721,True
nonlocative,item,morph,jaccard,53,53,-0.06817710454297476,0.24822080906556282,True
nonlocative,item,none,dice,53,53,-0.041551861307723925,0.2973241556647007,True
nonlocative,item,none,hamming,52,53,0.0034632034632033903,0.1241973104500821,True
nonlocative,item,none,idf_jaccard,53,53,-0.015822431991375452,0.2838901475661775,True
nonlocative,item,none,jaccard,53,53,-0.03321332435274549,0.30026372263586415,True
nonlocative,item,phon,dice,53,53,-0.04985647990361919,0.29095110553086434,True
nonlocative,item,phon,hamming,53,53,-0.002593818984547469,0.12068838930412172,True
nonlocative,item,phon,idf_jaccard,53,53,-0.018236295548357595,0.2823701573957562,True
nonlocative,item,phon,jaccard,53,53,-0.039919702043837324,0.29493934209753386,True
nonlocative,item,sem,dice,53,53,-0.023426832649359186,0.3943755553399544,True
nonlocative,item,sem,hamming,52,53,0.00656779661016943,0.14410537787966476,True
nonlocative,item,sem,idf_jaccard,53,53,-0.024975179657585,0.3478267473995814,True
nonlocative,item,sem,jaccard,53,53,-0.021434292147636813,0.3933281258509479,True
nonlocative,item,synt,dice,53,53,-0.004602599650121442,0.26956458610838613,True
nonlocative,item,synt,hamming,52,53,0.03020833333333331,0.10958553641480463,True
nonlocative,item,synt,idf_jaccard,52,53,0.011196082462358481,0.22661172019578257,True
nonlocative,item,synt,jaccard,53,53,-0.005003535417592464,0.2579364962288371,True
