lemma,role,eligible_control,family,pool,holdout,drop,metric,reference,features,ones,n_pronoun,n_compound,draws,d_pronoun,d_pronoun_percentile,d_pronoun_percentile_mcse,d_pronoun_lower_tail,d_pronoun_null_q025,d_pronoun_null_median,d_pronoun_null_q975,d_compound,d_compound_percentile,d_compound_percentile_mcse,d_compound_lower_tail,d_compound_null_q025,d_compound_null_median,d_compound_null_q975,delta,delta_percentile,delta_percentile_mcse,delta_lower_tail,delta_null_q025,delta_null_median,delta_null_q975
anybody,compound_anchor,True,C:any,nonlocative,family,none,hamming,within_block,154,27,41,9,20000,0.2416851441241685,0.001375,0.0002608330317339469,0.0014499275036248187,0.26227431105479887,0.2993348115299335,0.33164396579030725,0.10606060606060606,0.0,0.0,4.999750012499375e-05,0.23881673881673882,0.28210678210678203,0.31962481962481964,0.13562453806356245,1.0,0.0,1.0,-0.024549501988526286,0.017544785837468768,0.059849364727413534
anybody,compound_anchor,True,C:any,nonlocative,family,none,idf_jaccard,within_block,154,27,41,9,20000,0.929379414091132,0.09045,0.002028212404379251,0.09049547522623869,0.9187807114910903,0.9478600230573527,0.9694201567718284,0.6669045545725275,0.0,0.0,4.999750012499375e-05,0.8701428962300596,0.9301238604071052,0.9725947248397172,0.2624748595186045,1.0,0.0,1.0,-0.03320737964877633,0.01767427477440009,0.07945982307022265
anyone,compound_anchor,True,C:any,full,item,none,jaccard,fixed_total,154,27,41,15,20000,0.7815811418872559,0.00035,0.00013226771993758295,0.00039998000099995,0.8331515209707662,0.8980689135885291,0.9479862277697425,0.45915544169538974,0.0,0.0,4.999750012499375e-05,0.8352559176252412,0.9054026931940984,0.9592714861187915,0.32242570019186617,1.0,0.0,1.0,-0.07609483875848479,-0.007152900379326421,0.062267651936121965
anyone,compound_anchor,True,C:any,full,item,none,dice,fixed_total,154,27,41,15,20000,0.6432312265405868,0.00035,0.00013226771993758295,0.00039998000099995,0.715386733793221,0.8164395665560724,0.9021253979373567,0.31074035945060086,0.0,0.0,4.999750012499375e-05,0.7184468998562739,0.8282574704179695,0.9226008318924839,0.332490867089986,1.0,0.0,1.0,-0.12459665965637928,-0.011566118343681542,0.10088126262431746
anyone,compound_anchor,True,C:any,full,item,none,hamming,fixed_total,154,27,41,15,20000,0.2416851441241685,0.000325,0.0001249819978036387,0.00039998000099995,0.26924295216978145,0.3072537218878682,0.33956287614824204,0.10735930735930735,0.0,0.0,4.999750012499375e-05,0.2502164502164502,0.2891774891774891,0.322077922077922,0.13432583676486115,1.0,0.0,1.0,-0.022595818815330834,0.01858304297328675,0.05900168936754296
anyone,compound_anchor,True,C:any,full,item,none,idf_jaccard,fixed_total,154,27,41,15,20000,0.9251021427160832,0.04355,0.0014431819059635847,0.04359782010899455,0.9212546628169804,0.949974857537038,0.9714308441545821,0.635755957846751,0.0,0.0,4.999750012499375e-05,0.8986149590883946,0.9439362244156624,0.9764379783209728,0.28934618486933217,1.0,0.0,1.0,-0.03609775410396534,0.005871813267007586,0.05401931481260229
anyone,compound_anchor,True,C:any,full,family,none,jaccard,fixed_total,154,27,41,12,20000,0.7815811418872559,0.00035,0.00013226771993758295,0.00039998000099995,0.8331515209707662,0.8980689135885291,0.9479862277697425,0.5045728035197974,0.0,0.0,4.999750012499375e-05,0.8337770421977452,0.9054027039914505,0.9602304602202282,0.27700833836745853,1.0,0.0,1.0,-0.07668189352590062,-0.007228388049975332,0.06235198415362608
anyone,compound_anchor,True,C:any,full,family,none,dice,fixed_total,154,27,41,12,20000,0.6432312265405868,0.00035,0.00013226771993758295,0.00039998000099995,0.715386733793221,0.8164395665560724,0.9021253979373567,0.3459238248818021,0.0,0.0,4.999750012499375e-05,0.7161521409401075,0.8281144202741186,0.9243336757455944,0.2973074016587847,1.0,0.0,1.0,-0.12551720753342083,-0.011786393238377824,0.10098514885993796
anyone,compound_anchor,True,C:any,full,family,none,hamming,fixed_total,154,27,41,12,20000,0.2416851441241685,0.000325,0.0001249819978036387,0.00039998000099995,0.26924295216978145,0.3072537218878682,0.33956287614824204,0.11958874458874459,0.0,0.0,4.999750012499375e-05,0.24945887445887446,0.2884199134199134,0.321969696969697,0.12209639953542391,1.0,0.0,1.0,-0.022951641854080777,0.018464259317917897,0.05919385492556217
anyone,compound_anchor,True,C:any,full,family,none,idf_jaccard,fixed_total,154,27,41,12,20000,0.9268928752024284,0.0427,0.0014296634907854518,0.042747862606869656,0.9231612140181408,0.9512051935111916,0.9721043509721053,0.7106617451617226,0.0,0.0,4.999750012499375e-05,0.8932280943217896,0.9427982201098009,0.9781371276387617,0.2162311300407057,1.0,0.0,1.0,-0.0354710705660713,0.00824434732522289,0.059791835711320636
anyone,compound_anchor,True,C:any,nonlocative,item,none,jaccard,fixed_total,154,27,41,11,20000,0.7815811418872559,0.00035,0.00013226771993758295,0.00039998000099995,0.8331515209707662,0.8980689135885291,0.9479862277697425,0.4043105475468404,0.0,0.0,4.999750012499375e-05,0.8281647241478147,0.9024088067485221,0.9589753858737816,0.3772705943404155,1.0,0.0,1.0,-0.07377537011927009,-0.004056900691565057,0.06610869582102623
anyone,compound_anchor,True,C:any,nonlocative,item,none,dice,fixed_total,154,27,41,11,20000,0.6432312265405868,0.00035,0.00013226771993758295,0.00039998000099995,0.715386733793221,0.8164395665560724,0.9021253979373567,0.26158764240763915,0.0,0.0,4.999750012499375e-05,0.7073838130924421,0.8227747766602742,0.9218678816325656,0.3816435841329477,1.0,0.0,1.0,-0.12116600418796114,-0.006088132871995111,0.10711748679238266
anyone,compound_anchor,True,C:any,nonlocative,item,none,hamming,fixed_total,154,27,41,11,20000,0.2416851441241685,0.000325,0.0001249819978036387,0.00039998000099995,0.26924295216978145,0.3072537218878682,0.33956287614824204,0.09445100354191262,0.0,0.0,4.999750012499375e-05,0.2538370720188902,0.2951593860684769,0.3305785123966942,0.14723414058225587,1.0,0.0,1.0,-0.0300925792610937,0.012065539781726031,0.053445445906643185
anyone,compound_anchor,True,C:any,nonlocative,item,none,idf_jaccard,fixed_total,154,27,41,11,20000,0.9293076423447347,0.05115,0.0015578206620984207,0.0511974401279936,0.9242852510526454,0.9519926275834913,0.9725003106779009,0.5969893391890945,0.0,0.0,4.999750012499375e-05,0.8904140964637001,0.9413191043520377,0.9773807065424698,0.33231830315564026,1.0,0.0,1.0,-0.03360161160717783,0.01071173311954271,0.06403107638261481
