pool,holdout,drop,metric,pronoun_endpoint,pronoun_max,next_pronoun,next_pronoun_delta,failures,targets
nonlocative,family,morph,idf_jaccard,it_dum,-0.0190480581591617,its,-0.093268553736178,[],"[{'lemma': 'each_other', 'delta': -0.0202485806203879}, {'lemma': 'one_another', 'delta': -0.0202485806203879}]"
nonlocative,family,morph,jaccard,it_dum,-0.0605268822062013,your_plur,-0.1346940822048019,[],"[{'lemma': 'each_other', 'delta': -0.0444737395436665}, {'lemma': 'one_another', 'delta': -0.0444737395436665}]"
nonlocative,family,none,dice,it_dum,-0.0322435622982703,itself,-0.1291538758964037,[],"[{'lemma': 'each_other', 'delta': 0.0822493110588769}, {'lemma': 'one_another', 'delta': 0.0913711221423614}]"
nonlocative,family,none,hamming,it_dum,0.0077805077805077,itself,-0.0325552825552825,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0384331116038432}, {'lemma': 'one_another', 'delta': 0.0427621159328476}]"
nonlocative,family,none,idf_jaccard,it_dum,-0.0002927737553981,itself,-0.065766756439238,[],"[{'lemma': 'each_other', 'delta': 0.0533653531406038}, {'lemma': 'one_another', 'delta': 0.0675668130303813}]"
nonlocative,family,none,jaccard,it_dum,-0.0257237289700114,itself,-0.1284087354543847,[],"[{'lemma': 'each_other', 'delta': 0.0685685133613328}, {'lemma': 'one_another', 'delta': 0.0759323308459946}]"
nonlocative,family,phon,dice,it_dum,-0.0402056248929586,itself,-0.1182209343438825,[],"[{'lemma': 'each_other', 'delta': 0.0738187121864373}, {'lemma': 'one_another', 'delta': 0.0835529537560051}]"
nonlocative,family,phon,hamming,it_dum,0.0018495316508561,itself,-0.0306962591730803,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0332202659774942}, {'lemma': 'one_another', 'delta': 0.0376352770150217}]"
nonlocative,family,phon,idf_jaccard,it_dum,-0.002335356572041,itself,-0.057500409323398,[],"[{'lemma': 'each_other', 'delta': 0.0512174280909136}, {'lemma': 'one_another', 'delta': 0.0659831757935672}]"
nonlocative,family,phon,jaccard,it_dum,-0.0320584988552338,itself,-0.1185437570251642,[],"[{'lemma': 'each_other', 'delta': 0.0610227287174591}, {'lemma': 'one_another', 'delta': 0.0691090876640437}]"
nonlocative,family,sem,dice,it_dum,-0.0173838575173633,itself,-0.1424456805963018,[],"[{'lemma': 'each_other', 'delta': 0.2556108711886502}, {'lemma': 'one_another', 'delta': 0.260249157422556}]"
nonlocative,family,sem,hamming,it_dum,0.0100206138341731,itself,-0.0317033134829745,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0804568003307151}, {'lemma': 'one_another', 'delta': 0.0861065178448395}]"
nonlocative,family,sem,idf_jaccard,it_dum,-0.0148596731627922,itself,-0.0846392008531669,[],"[{'lemma': 'each_other', 'delta': 0.1180111145611141}, {'lemma': 'one_another', 'delta': 0.1263237805672934}]"
nonlocative,family,sem,jaccard,it_dum,-0.0169497447655814,itself,-0.1452714911864845,[],"[{'lemma': 'each_other', 'delta': 0.20522732884832}, {'lemma': 'one_another', 'delta': 0.2064188215862332}]"
nonlocative,family,synt,dice,it_dum,0.0074244187885186,itself,-0.0893862719293311,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.066340667424478}, {'lemma': 'one_another', 'delta': 0.0792463595063987}]"
nonlocative,family,synt,hamming,it_dum,0.0346067221067221,itself,-0.0074064449064449,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0420575359599749}, {'lemma': 'one_another', 'delta': 0.0484677923702314}]"
nonlocative,family,synt,idf_jaccard,it_dum,0.0297437628487705,itself,-0.0137898643736036,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0462763800154139}, {'lemma': 'one_another', 'delta': 0.0657716729771099}]"
nonlocative,family,synt,jaccard,it_dum,0.0044985704761633,itself,-0.08404930062569,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.058514497194791}, {'lemma': 'one_another', 'delta': 0.0687968577697857}]"
nonlocative,item,morph,dice,it_dum,-0.0858582591909149,their_sing,-0.1321005850603211,[],"[{'lemma': 'each_other', 'delta': -0.0434876888794185}, {'lemma': 'one_another', 'delta': -0.0434876888794185}]"
nonlocative,item,morph,hamming,it_dum,-0.021629213483146,they_sing,-0.0548689138576778,[],"[{'lemma': 'each_other', 'delta': -0.0126747053987393}, {'lemma': 'one_another', 'delta': -0.0126747053987393}]"
nonlocative,item,morph,idf_jaccard,it_dum,-0.0347722491300143,its,-0.0980570474503682,[],"[{'lemma': 'each_other', 'delta': -0.0202485806203879}, {'lemma': 'one_another', 'delta': -0.0202485806203879}]"
nonlocative,item,morph,jaccard,it_dum,-0.0681771045429747,their_sing,-0.1428473702301297,[],"[{'lemma': 'each_other', 'delta': -0.0444737395436665}, {'lemma': 'one_another', 'delta': -0.0444737395436665}]"
nonlocative,item,none,dice,it_dum,-0.0415518613077239,itself,-0.1338548686099691,[],"[{'lemma': 'each_other', 'delta': 0.0822493110588769}, {'lemma': 'one_another', 'delta': 0.0913711221423614}]"
nonlocative,item,none,hamming,it_dum,0.0034632034632033,itself,-0.0366883116883117,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0384331116038432}, {'lemma': 'one_another', 'delta': 0.0427621159328476}]"
nonlocative,item,none,idf_jaccard,it_dum,-0.0158224319913754,itself,-0.0795491836102858,[],"[{'lemma': 'each_other', 'delta': 0.0533653531406038}, {'lemma': 'one_another', 'delta': 0.0675668130303813}]"
nonlocative,item,none,jaccard,it_dum,-0.0332133243527454,itself,-0.1320812516858992,[],"[{'lemma': 'each_other', 'delta': 0.0685685133613328}, {'lemma': 'one_another', 'delta': 0.0759323308459946}]"
nonlocative,item,phon,dice,it_dum,-0.0498564799036191,itself,-0.1227958507144429,[],"[{'lemma': 'each_other', 'delta': 0.0738187121864373}, {'lemma': 'one_another', 'delta': 0.0835529537560051}]"
nonlocative,item,phon,hamming,it_dum,-0.0025938189845474,itself,-0.0347682119205297,[],"[{'lemma': 'each_other', 'delta': 0.0332202659774942}, {'lemma': 'one_another', 'delta': 0.0376352770150217}]"
nonlocative,item,phon,idf_jaccard,it_dum,-0.0182362955483575,itself,-0.071601344857117,[],"[{'lemma': 'each_other', 'delta': 0.0512174280909136}, {'lemma': 'one_another', 'delta': 0.0659831757935672}]"
nonlocative,item,phon,jaccard,it_dum,-0.0399197020438373,itself,-0.1220073846327916,[],"[{'lemma': 'each_other', 'delta': 0.0610227287174591}, {'lemma': 'one_another', 'delta': 0.0691090876640437}]"
nonlocative,item,sem,dice,it_dum,-0.0234268326493591,itself,-0.1430830754447686,[],"[{'lemma': 'each_other', 'delta': 0.2556108711886502}, {'lemma': 'one_another', 'delta': 0.260249157422556}]"
nonlocative,item,sem,hamming,it_dum,0.0065677966101694,itself,-0.0346751412429378,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0804568003307151}, {'lemma': 'one_another', 'delta': 0.0861065178448395}]"
nonlocative,item,sem,idf_jaccard,it_dum,-0.024975179657585,itself,-0.0916311958475047,[],"[{'lemma': 'each_other', 'delta': 0.1180111145611141}, {'lemma': 'one_another', 'delta': 0.1263237805672934}]"
nonlocative,item,sem,jaccard,it_dum,-0.0214342921476368,itself,-0.1440798042863018,[],"[{'lemma': 'each_other', 'delta': 0.20522732884832}, {'lemma': 'one_another', 'delta': 0.2064188215862332}]"
nonlocative,item,synt,dice,it_dum,-0.0046025996501214,itself,-0.0982462202789936,[],"[{'lemma': 'each_other', 'delta': 0.066340667424478}, {'lemma': 'one_another', 'delta': 0.0792463595063987}]"
nonlocative,item,synt,hamming,it_dum,0.0302083333333333,itself,-0.0122596153846154,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0420575359599749}, {'lemma': 'one_another', 'delta': 0.0484677923702314}]"
nonlocative,item,synt,idf_jaccard,it_dum,0.0111960824623584,itself,-0.0355619309254415,['it_dum'],"[{'lemma': 'each_other', 'delta': 0.0462763800154139}, {'lemma': 'one_another', 'delta': 0.0657716729771099}]"
nonlocative,item,synt,jaccard,it_dum,-0.0050035354175924,itself,-0.0935914297283756,[],"[{'lemma': 'each_other', 'delta': 0.058514497194791}, {'lemma': 'one_another', 'delta': 0.0687968577697857}]"
