diagnostic,weighting,altered_dummy_it,holdout,lemma,role,features,d_pronoun,d_compound,delta
no_morph,equal_feature,False,item,hers,pronoun_anchor,89,0.4583822759470511,0.6719237646046856,-0.2135414886576345
no_morph,equal_feature,False,item,herself,pronoun_anchor,89,0.5147397481981322,0.7613281574345082,-0.24658840923637604
no_morph,equal_feature,False,item,it_plain,pronoun_anchor,89,0.5744197650717656,0.7513532329391965,-0.17693346786743092
no_morph,equal_feature,False,item,it_dum,pronoun_anchor,89,0.7310723188731153,0.8056508356780095,-0.07457851680489425
no_morph,equal_feature,False,item,its,pronoun_anchor,89,0.5683637516404039,0.7356139163480245,-0.16725016470762066
no_morph,equal_feature,False,item,itself,pronoun_anchor,89,0.5623564281492494,0.7321559876236283,-0.16979955947437897
no_morph,equal_feature,False,item,I,pronoun_anchor,89,0.573412059487367,0.7839803937126371,-0.2105683342252701
no_morph,equal_feature,False,item,me,pronoun_anchor,89,0.5349607473583516,0.7834706512125867,-0.2485099038542351
no_morph,equal_feature,False,item,mine,pronoun_anchor,89,0.4430660445640659,0.6719237646046856,-0.22885772004061972
no_morph,equal_feature,False,item,my,pronoun_anchor,89,0.6083671305179864,0.8104232005350482,-0.20205607001706183
no_morph,equal_feature,False,item,myself,pronoun_anchor,89,0.4981623261398956,0.7613281574345082,-0.26316583129461263
no_morph,equal_feature,False,item,their_sing,pronoun_anchor,89,0.6063947636050273,0.7779758076934411,-0.1715810440884138
no_morph,equal_feature,False,item,theirs_sing,pronoun_anchor,89,0.46277366452906676,0.653507933359907,-0.19073426883084021
no_morph,equal_feature,False,item,their_plur,pronoun_anchor,89,0.6310473552520856,0.7986295622969244,-0.16758220704483884
no_morph,equal_feature,False,item,theirs_plur,pronoun_anchor,89,0.48587545114701725,0.6720180444154903,-0.18614259326847304
no_morph,equal_feature,False,item,them_sing,pronoun_anchor,89,0.49709721834119386,0.7261772079616304,-0.22907998962043657
no_morph,equal_feature,False,item,them_plur,pronoun_anchor,89,0.5322677060962123,0.7802290897419575,-0.24796138364574516
no_morph,equal_feature,False,item,themself,pronoun_anchor,89,0.5431704302221823,0.7537629613163397,-0.21059253109415743
no_morph,equal_feature,False,item,themselves,pronoun_anchor,89,0.5457679627805028,0.787753441498554,-0.2419854787180512
no_morph,equal_feature,False,item,they_sing,pronoun_anchor,89,0.5682562607644804,0.7362863936649952,-0.16803013290051472
no_morph,equal_feature,False,item,they_plur,pronoun_anchor,89,0.5934925308882757,0.789328881791197,-0.19583635090292129
no_morph,equal_feature,False,item,we_pron,pronoun_anchor,89,0.5362748099139367,0.7699023105577263,-0.23362750064378957
no_morph,equal_feature,False,item,us_pron,pronoun_anchor,89,0.47258632198192385,0.7556381379306109,-0.283051815948687
no_morph,equal_feature,False,item,our,pronoun_anchor,89,0.6019079835114594,0.7999885078603881,-0.19808052434892875
no_morph,equal_feature,False,item,ours,pronoun_anchor,89,0.43904126808496435,0.6626856281642065,-0.22364436007924215
no_morph,equal_feature,False,item,ourselves,pronoun_anchor,89,0.5086038233308713,0.7751383123774015,-0.2665344890465302
no_morph,equal_feature,False,item,you_pron_sing,pronoun_anchor,89,0.5094683594762833,0.7311912109077464,-0.22172285143146309
no_morph,equal_feature,False,item,you_pron_plur,pronoun_anchor,89,0.5176405848100958,0.7598643011342173,-0.24222371632412154
no_morph,equal_feature,False,item,your_sing,pronoun_anchor,89,0.6088052032021969,0.7931678436537527,-0.18436264045155581
no_morph,equal_feature,False,item,yours_sing,pronoun_anchor,89,0.43904126808496435,0.6626856281642065,-0.22364436007924215
no_morph,equal_feature,False,item,your_plur,pronoun_anchor,89,0.6088052032021969,0.7931678436537527,-0.18436264045155581
no_morph,equal_feature,False,item,yours_plur,pronoun_anchor,89,0.43904126808496435,0.6626856281642065,-0.22364436007924215
no_morph,equal_feature,False,item,yourself,pronoun_anchor,89,0.49415320460926304,0.7491899656776185,-0.2550367610683555
no_morph,equal_feature,False,item,yourselves,pronoun_anchor,89,0.4943114246774062,0.7705089260824779,-0.2761975014050717
no_morph,equal_feature,False,family,anybody,compound_anchor,89,0.7447352336061431,0.5034144195249125,0.24132081408123063
no_morph,equal_feature,False,family,anyone,compound_anchor,89,0.7447352336061431,0.5034144195249125,0.24132081408123063
no_morph,equal_feature,False,family,anything,compound_anchor,89,0.7464428269697864,0.500964696223317,0.2454781307464694
no_morph,equal_feature,False,family,anywhere,compound_anchor,89,0.8162890313059344,0.5834791613933293,0.2328098699126051
no_morph,equal_feature,False,family,everybody,compound_anchor,89,0.6706384188852103,0.5382610092061566,0.13237740967905365
no_morph,equal_feature,False,family,everyone,compound_anchor,89,0.6706384188852103,0.5382610092061566,0.13237740967905365
no_morph,equal_feature,False,family,everything,compound_anchor,89,0.7046289444082938,0.4993875715325475,0.20524137287574634
no_morph,equal_feature,False,family,everywhere,compound_anchor,89,0.7829594223278943,0.5612553842126556,0.22170403811523864
no_morph,equal_feature,False,family,nobody,compound_anchor,89,0.729016466588784,0.4634728575883,0.26554360900048407
no_morph,equal_feature,False,family,no_one,compound_anchor,89,0.729016466588784,0.4634728575883,0.26554360900048407
no_morph,equal_feature,False,family,nothing,compound_anchor,89,0.7547563739160308,0.4804307620584966,0.2743256118575342
no_morph,equal_feature,False,family,nowhere,compound_anchor,89,0.8198098162340919,0.5628815946066595,0.25692822162743234
no_morph,equal_feature,False,family,somebody,compound_anchor,89,0.733466038068959,0.47912412841198454,0.2543419096569745
no_morph,equal_feature,False,family,someone,compound_anchor,89,0.733466038068959,0.47912412841198454,0.2543419096569745
no_morph,equal_feature,False,family,something,compound_anchor,89,0.7568360111281108,0.4988313796144257,0.25800463151368513
no_morph,equal_feature,False,family,somewhere,compound_anchor,89,0.8250351360217458,0.5864655406322073,0.23856959538953848
no_morph,equal_feature,False,family,each_other,target,89,0.6275402401733168,0.7039489084330575,-0.07640866825974069
no_morph,equal_feature,False,family,one_another,target,89,0.6275402401733168,0.7039489084330575,-0.07640866825974069
no_morph,equal_feature,False,family,he,pronoun_anchor,89,0.5702063609995057,0.759233422593149,-0.18902706159364324
no_morph,equal_feature,False,family,him,pronoun_anchor,89,0.5003919384959788,0.7475335904440905,-0.24714165194811166
no_morph,equal_feature,False,family,himself,pronoun_anchor,89,0.5233490438604926,0.7613281574345082,-0.23797911357401558
no_morph,equal_feature,False,family,his,pronoun_anchor,89,0.4725633781403173,0.6864910576158971,-0.21392767947557983
no_morph,equal_feature,False,family,she,pronoun_anchor,89,0.566409099150799,0.759233422593149,-0.19282432344235
no_morph,equal_feature,False,family,her_acc,pronoun_anchor,89,0.48472125042189657,0.715870687566158,-0.23114943714426145
no_morph,equal_feature,False,family,her_dep,pronoun_anchor,89,0.599082396305323,0.7935030903701139,-0.1944206940647909
no_morph,equal_feature,False,family,hers,pronoun_anchor,89,0.4579918636193916,0.6719237646046856,-0.21393190098529402
no_morph,equal_feature,False,family,herself,pronoun_anchor,89,0.5163451229655498,0.7613281574345082,-0.24498303446895842
no_morph,equal_feature,False,family,it_plain,pronoun_anchor,89,0.5761767958005801,0.7513532329391965,-0.17517643713861641
no_morph,equal_feature,False,family,it_dum,pronoun_anchor,89,0.7387225412098886,0.8056508356780095,-0.06692829446812099
no_morph,equal_feature,False,family,its,pronoun_anchor,89,0.566539391162799,0.7356139163480245,-0.16907452518522548
no_morph,equal_feature,False,family,itself,pronoun_anchor,89,0.5654233527669432,0.7321559876236283,-0.1667326348566851
no_morph,equal_feature,False,family,I,pronoun_anchor,89,0.5748894144828935,0.7839803937126371,-0.2090909792297435
no_morph,equal_feature,False,family,me,pronoun_anchor,89,0.5381231038079419,0.7834706512125867,-0.24534754740464482
no_morph,equal_feature,False,family,mine,pronoun_anchor,89,0.43646150392458316,0.6719237646046856,-0.23546226068010245
no_morph,equal_feature,False,family,my,pronoun_anchor,89,0.601071844638155,0.8104232005350482,-0.20935135589689324
no_morph,equal_feature,False,family,myself,pronoun_anchor,89,0.4940990362963357,0.7613281574345082,-0.2672291211381725
no_morph,equal_feature,False,family,their_sing,pronoun_anchor,89,0.610549321521408,0.7779758076934411,-0.16742648617203315
no_morph,equal_feature,False,family,theirs_sing,pronoun_anchor,89,0.47020756706516026,0.653507933359907,-0.18330036629474672
no_morph,equal_feature,False,family,their_plur,pronoun_anchor,89,0.6388212299559561,0.7986295622969244,-0.15980833234096825
no_morph,equal_feature,False,family,theirs_plur,pronoun_anchor,89,0.4977443614765735,0.6720180444154903,-0.17427368293891676
no_morph,equal_feature,False,family,them_sing,pronoun_anchor,89,0.5003830177665487,0.7261772079616304,-0.22579419019508173
no_morph,equal_feature,False,family,them_plur,pronoun_anchor,89,0.5487887889994031,0.7802290897419575,-0.2314403007425544
no_morph,equal_feature,False,family,themself,pronoun_anchor,89,0.546683245415594,0.7537629613163397,-0.2070797159007457
no_morph,equal_feature,False,family,themselves,pronoun_anchor,89,0.55769934146162,0.787753441498554,-0.23005410003693394
no_morph,equal_feature,False,family,they_sing,pronoun_anchor,89,0.5704912511470183,0.7362863936649952,-0.1657951425179769
