diagnostic,weighting,altered_dummy_it,holdout,controls_recovered,failures,pronoun_endpoint,pronoun_max,next_pronoun,next_pronoun_delta,compound_min,targets
no_morph,equal_feature,True,family,57,[],it_dum,-0.057902263573205826,their_plur,-0.160621287595911,0.13171659026297777,"[{'lemma': 'each_other', 'd_pronoun': 0.6282054286433832, 'd_compound': 0.7039489084330575, 'delta': -0.07574347978967422}, {'lemma': 'one_another', 'd_pronoun': 0.6282054286433832, 'd_compound': 0.7039489084330575, 'delta': -0.07574347978967422}]"
no_morph,equal_feature,True,item,57,[],it_dum,-0.06530428985710535,its,-0.16665757211502807,0.18583841443590038,"[{'lemma': 'each_other', 'd_pronoun': 0.6282054286433832, 'd_compound': 0.7039489084330575, 'delta': -0.07574347978967422}, {'lemma': 'one_another', 'd_pronoun': 0.6282054286433832, 'd_compound': 0.7039489084330575, 'delta': -0.07574347978967422}]"
no_morph_no_particle_stress,equal_block_total,False,family,57,[],it_dum,-0.030954517538945403,itself,-0.08561042020826537,0.13607310373217096,"[{'lemma': 'each_other', 'd_pronoun': 0.6458833322290838, 'd_compound': 0.7061545503014847, 'delta': -0.06027121807240088}, {'lemma': 'one_another', 'd_pronoun': 0.6458833322290838, 'd_compound': 0.7061545503014847, 'delta': -0.06027121807240088}]"
no_morph_no_particle_stress,equal_block_total,False,item,57,[],it_dum,-0.042935737833236676,itself,-0.09447367527971462,0.1923261596899004,"[{'lemma': 'each_other', 'd_pronoun': 0.6458833322290838, 'd_compound': 0.7061545503014847, 'delta': -0.06027121807240088}, {'lemma': 'one_another', 'd_pronoun': 0.6458833322290838, 'd_compound': 0.7061545503014847, 'delta': -0.06027121807240088}]"
no_morph_no_phon,equal_block_total,False,family,57,[],it_dum,-0.06978653011630909,itself,-0.1432933037129247,0.09988699464078754,"[{'lemma': 'each_other', 'd_pronoun': 0.5934547201754283, 'd_compound': 0.7061545503014847, 'delta': -0.11269983012605633}, {'lemma': 'one_another', 'd_pronoun': 0.5934547201754283, 'd_compound': 0.7061545503014847, 'delta': -0.11269983012605633}]"
no_morph_no_phon,equal_block_total,False,item,57,[],it_dum,-0.07885534946729811,itself,-0.14783034252152438,0.156140050598517,"[{'lemma': 'each_other', 'd_pronoun': 0.5934547201754283, 'd_compound': 0.7061545503014847, 'delta': -0.11269983012605633}, {'lemma': 'one_another', 'd_pronoun': 0.5934547201754283, 'd_compound': 0.7061545503014847, 'delta': -0.11269983012605633}]"
no_morph_no_phon,equal_feature,False,family,57,[],it_dum,-0.07849312585154689,itself,-0.1551263372234657,0.1229307412057804,"[{'lemma': 'each_other', 'd_pronoun': 0.6126302625172071, 'd_compound': 0.7039489084330575, 'delta': -0.09131864591585037}, {'lemma': 'one_another', 'd_pronoun': 0.6126302625172071, 'd_compound': 0.7039489084330575, 'delta': -0.09131864591585037}]"
no_morph_no_phon,equal_feature,False,item,57,[],it_dum,-0.08665740506892372,its,-0.15586924036521765,0.177052565378703,"[{'lemma': 'each_other', 'd_pronoun': 0.6126302625172071, 'd_compound': 0.7039489084330575, 'delta': -0.09131864591585037}, {'lemma': 'one_another', 'd_pronoun': 0.6126302625172071, 'd_compound': 0.7039489084330575, 'delta': -0.09131864591585037}]"
no_other16_morph,equal_feature,False,family,57,[],it_dum,-0.06678683265550611,their_plur,-0.15283538373211425,0.11304177864881926,"[{'lemma': 'each_other', 'd_pronoun': 0.6700359394563651, 'd_compound': 0.7435977386970984, 'delta': -0.07356179924073336}, {'lemma': 'one_another', 'd_pronoun': 0.6904727334140334, 'd_compound': 0.7489448089299923, 'delta': -0.0584720755159589}]"
no_other16_morph,equal_feature,False,item,57,[],it_dum,-0.07710385199207959,its,-0.1595913896970398,0.17200288049691803,"[{'lemma': 'each_other', 'd_pronoun': 0.6700359394563651, 'd_compound': 0.7435977386970984, 'delta': -0.07356179924073336}, {'lemma': 'one_another', 'd_pronoun': 0.6904727334140334, 'd_compound': 0.7489448089299923, 'delta': -0.0584720755159589}]"
