pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
nonlocative,family,none,hamming,fixed_total,53,52,-0.1076839826839827,0.0077805077805077,0.1087178404251575,0.146886988350403,0.0384331116038432,False,False,True,0.0427621159328476,False,False,True,0.8962,0.9273
nonlocative,family,none,hamming,within_block,53,52,-0.1076839826839827,0.0077805077805077,0.1087178404251575,0.146886988350403,0.0384331116038432,False,False,True,0.0427621159328476,False,False,True,0.899025,0.927125
nonlocative,family,none,idf_jaccard,fixed_total,53,53,-0.2184209722854636,-0.0002927737553981,0.2112188746933792,0.3006226547907942,0.0533653531406038,False,False,True,0.0675668130303813,False,False,True,0.9498,0.98415
nonlocative,family,none,idf_jaccard,within_block,53,53,-0.2184209722854636,-0.0002927737553981,0.2112188746933792,0.3006226547907942,0.0533653531406038,False,False,True,0.0675668130303813,False,False,True,0.92695,0.9778
nonlocative,family,none,jaccard,fixed_total,53,53,-0.2712594044779257,-0.0257237289700114,0.2417619094539054,0.3549424675696594,0.0685685133613328,False,False,True,0.0759323308459946,False,False,True,0.97585,0.98595
nonlocative,family,none,jaccard,within_block,53,53,-0.2712594044779257,-0.0257237289700114,0.2417619094539054,0.3549424675696594,0.0685685133613328,False,False,True,0.0759323308459946,False,False,True,0.97575,0.98585
nonlocative,family,phon,dice,fixed_total,53,53,-0.3067538008398551,-0.0402056248929586,0.2489527655087252,0.3569899803005937,0.0738187121864373,False,False,True,0.0835529537560051,False,False,True,0.90435,0.9315
nonlocative,family,phon,dice,within_block,53,53,-0.3067538008398551,-0.0402056248929586,0.2489527655087252,0.3569899803005937,0.0738187121864373,False,False,True,0.0835529537560051,False,False,True,0.9144,0.9405
nonlocative,family,phon,hamming,fixed_total,53,52,-0.1160779985283296,0.0018495316508561,0.1049013801396291,0.1438288555070981,0.0332202659774942,False,False,True,0.0376352770150217,False,False,True,0.885275,0.9162
nonlocative,family,phon,hamming,within_block,53,52,-0.1160779985283296,0.0018495316508561,0.1049013801396291,0.1438288555070981,0.0332202659774942,False,False,True,0.0376352770150217,False,False,True,0.89555,0.927725
