pool,holdout,drop,metric,role,count,minimum,median,maximum
nonlocative,item,morph,dice,pronoun_anchor,41,0.0858582591909149,0.1857304261950238,0.254031113135732
nonlocative,item,morph,hamming,compound_anchor,12,0.1208301153491615,0.16227359924263185,0.179725454047186
nonlocative,item,morph,hamming,pronoun_anchor,41,0.021629213483146,0.0969101123595505,0.1237827715355804
nonlocative,item,morph,idf_jaccard,compound_anchor,12,0.2731501081784721,0.3460111545227105,0.3922563906789817
nonlocative,item,morph,idf_jaccard,pronoun_anchor,41,0.0347722491300143,0.1661849195459719,0.2294785761616411
nonlocative,item,morph,jaccard,compound_anchor,12,0.2482208090655628,0.34707979245416154,0.3743622086361753
nonlocative,item,morph,jaccard,pronoun_anchor,41,0.0681771045429747,0.1924523344934255,0.2528668127447337
nonlocative,item,none,dice,compound_anchor,12,0.2973241556647007,0.3816741932544659,0.3901415981954156
nonlocative,item,none,dice,pronoun_anchor,41,0.0415518613077239,0.2345781287216164,0.3166902510361253
nonlocative,item,none,hamming,compound_anchor,12,0.1241973104500821,0.14519682091744168,0.1558729518818211
nonlocative,item,none,hamming,pronoun_anchor,41,-0.0034632034632033,0.091504329004329,0.1117424242424242
nonlocative,item,none,idf_jaccard,compound_anchor,12,0.2838901475661775,0.32336289516511657,0.357432184598066
nonlocative,item,none,idf_jaccard,pronoun_anchor,41,0.0158224319913754,0.1651445918859274,0.2075758847700936
nonlocative,item,none,jaccard,compound_anchor,12,0.3002637226358641,0.369880157005422,0.3935601400798234
nonlocative,item,none,jaccard,pronoun_anchor,41,0.0332133243527454,0.229520832722828,0.2800269236130498
nonlocative,item,phon,dice,compound_anchor,12,0.2909511055308643,0.3759249171543976,0.384046009916707
nonlocative,item,phon,dice,pronoun_anchor,41,0.0498564799036191,0.2375138145007524,0.3127867747978186
nonlocative,item,phon,hamming,compound_anchor,12,0.1206883893041217,0.1421051085887138,0.1529933481152993
nonlocative,item,phon,hamming,pronoun_anchor,41,0.0025938189845474,0.0905077262693156,0.1162803532008829
nonlocative,item,phon,idf_jaccard,compound_anchor,12,0.2823701573957562,0.3223683543754087,0.3563796705680585
nonlocative,item,phon,idf_jaccard,pronoun_anchor,41,0.0182362955483575,0.1603353756029522,0.2030439179259812
nonlocative,item,phon,jaccard,compound_anchor,12,0.2949393420975338,0.3657471178334451,0.3888157803391603
nonlocative,item,phon,jaccard,pronoun_anchor,41,0.0399197020438373,0.2259845717561037,0.2800849516469686
nonlocative,item,sem,dice,compound_anchor,12,0.3943755553399544,0.43796195216104017,0.4614753841855349
nonlocative,item,sem,dice,pronoun_anchor,41,0.0234268326493591,0.2296133694124704,0.3454233748059753
nonlocative,item,sem,hamming,compound_anchor,12,0.1441053778796647,0.1509827501973016,0.1640986132511556
nonlocative,item,sem,hamming,pronoun_anchor,41,-0.0065677966101694,0.0820621468926554,0.1129237288135593
nonlocative,item,sem,idf_jaccard,compound_anchor,12,0.3478267473995814,0.36571552131651386,0.4038374428381133
nonlocative,item,sem,idf_jaccard,pronoun_anchor,41,0.024975179657585,0.1519664013826585,0.1998153512125858
nonlocative,item,sem,jaccard,compound_anchor,12,0.3933281258509479,0.42673321851945784,0.4515919779577209
nonlocative,item,sem,jaccard,pronoun_anchor,41,0.0214342921476368,0.2150928484731433,0.3031831776117754
nonlocative,item,synt,dice,compound_anchor,12,0.2695645861083861,0.36302352283689265,0.3756326848571987
nonlocative,item,synt,dice,pronoun_anchor,41,0.0046025996501214,0.3342353003979109,0.4422131923363585
nonlocative,item,synt,hamming,compound_anchor,12,0.1095855364148046,0.126972113252601,0.1344235033259423
nonlocative,item,synt,hamming,pronoun_anchor,41,-0.0302083333333333,0.0995192307692307,0.1214743589743589
nonlocative,item,synt,idf_jaccard,compound_anchor,12,0.2266117201957825,0.2653735482636743,0.2752025874246395
nonlocative,item,synt,idf_jaccard,pronoun_anchor,41,-0.0111960824623584,0.189687927456878,0.2677381036356434
nonlocative,item,synt,jaccard,compound_anchor,12,0.2579364962288371,0.3320461735898468,0.3546907226684938
nonlocative,item,synt,jaccard,pronoun_anchor,41,0.0050035354175924,0.3060407658008978,0.3732190227105894
