lemma,role,family,pool,holdout,drop,metric,d_pronoun,d_compound,delta,signed_control_margin
nobody,compound_anchor,C:no,full,item,none,dice,0.6284521730263666,0.2879841270557476,0.3404680459706189,0.3404680459706189
nobody,compound_anchor,C:no,full,item,none,hamming,0.2369337979094077,0.0995670995670995,0.1373666983423081,0.1373666983423081
nobody,compound_anchor,C:no,full,item,none,idf_jaccard,0.9321360477337366,0.6319153473623853,0.3002207003713513,0.3002207003713513
nobody,compound_anchor,C:no,full,family,none,jaccard,0.7705789558217474,0.4701415853617991,0.3004373704599483,0.3004373704599483
nobody,compound_anchor,C:no,full,family,none,dice,0.6284521730263666,0.3150435478116449,0.3134086252147217,0.3134086252147217
nobody,compound_anchor,C:no,full,family,none,hamming,0.2369337979094077,0.1093073593073593,0.1276264386020484,0.1276264386020484
nobody,compound_anchor,C:no,full,family,none,idf_jaccard,0.9353121886371266,0.7002667133463182,0.2350454752908084,0.2350454752908084
nobody,compound_anchor,C:no,nonlocative,item,none,jaccard,0.7705789558217474,0.377018815741924,0.3935601400798234,0.3935601400798234
nobody,compound_anchor,C:no,nonlocative,item,none,dice,0.6284521730263666,0.238310574830951,0.3901415981954156,0.3901415981954156
nobody,compound_anchor,C:no,nonlocative,item,none,hamming,0.2369337979094077,0.0861865407319952,0.1507472571774124,0.1507472571774124
nobody,compound_anchor,C:no,nonlocative,item,none,idf_jaccard,0.9362498971266308,0.5913128379440463,0.3449370591825845,0.3449370591825845
nobody,compound_anchor,C:no,nonlocative,family,none,jaccard,0.7705789558217474,0.415636488252088,0.3549424675696594,0.3549424675696594
nobody,compound_anchor,C:no,nonlocative,family,none,dice,0.6284521730263666,0.2653666044470642,0.3630855685793023,0.3630855685793023
nobody,compound_anchor,C:no,nonlocative,family,none,hamming,0.2369337979094077,0.0959595959595959,0.1409742019498117,0.1409742019498117
nobody,compound_anchor,C:no,nonlocative,family,none,idf_jaccard,0.9373425214330352,0.6553877720375239,0.2819547493955112,0.2819547493955112
no_one,compound_anchor,C:no,full,item,none,jaccard,0.7754013003995375,0.4487890650341835,0.3266122353653539,0.3266122353653539
no_one,compound_anchor,C:no,full,item,none,dice,0.634803032549355,0.2998666483706192,0.3349363841787357,0.3349363841787357
no_one,compound_anchor,C:no,full,item,none,hamming,0.2434273044029141,0.1056277056277056,0.1377995987752085,0.1377995987752085
no_one,compound_anchor,C:no,full,item,none,idf_jaccard,0.9371891577335014,0.6602726678221038,0.2769164899113976,0.2769164899113976
no_one,compound_anchor,C:no,full,family,none,jaccard,0.7754013003995375,0.485000816919791,0.2904004834797464,0.2904004834797464
no_one,compound_anchor,C:no,full,family,none,dice,0.634803032549355,0.3275393179061237,0.3072637146432313,0.3072637146432313
no_one,compound_anchor,C:no,full,family,none,hamming,0.2434273044029141,0.1158008658008658,0.1276264386020483,0.1276264386020483
no_one,compound_anchor,C:no,full,family,none,idf_jaccard,0.9397515544162274,0.7235955455051739,0.2161560089110534,0.2161560089110534
no_one,compound_anchor,C:no,nonlocative,item,none,jaccard,0.7754013003995375,0.3924150255722445,0.3829862748272929,0.3829862748272929
no_one,compound_anchor,C:no,nonlocative,item,none,dice,0.634803032549355,0.2503634091414375,0.3844396234079175,0.3844396234079175
no_one,compound_anchor,C:no,nonlocative,item,none,hamming,0.2434273044029141,0.0920897284533648,0.1513375759495493,0.1513375759495493
no_one,compound_anchor,C:no,nonlocative,item,none,idf_jaccard,0.9408804691823404,0.6199286566176176,0.3209518125647228,0.3209518125647228
no_one,compound_anchor,C:no,nonlocative,family,none,jaccard,0.7754013003995375,0.4321763992964349,0.3432249011031025,0.3432249011031025
no_one,compound_anchor,C:no,nonlocative,family,none,dice,0.634803032549355,0.2784966210966674,0.3563064114526875,0.3563064114526875
