lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
one_another,target,reciprocal,False,full,family,none,equal_block_total,154,41,16,0.7601216628687412,0.6869940200268123,0.07312764284192885,
he,pronoun_anchor,P:he,True,full,family,none,equal_block_total,154,37,16,0.6696678450125336,0.7897055293012865,-0.12003768428875283,0.12003768428875283
him,pronoun_anchor,P:he,True,full,family,none,equal_block_total,154,37,16,0.5066366569351475,0.8396261536169971,-0.33298949668184963,0.33298949668184963
himself,pronoun_anchor,P:he,True,full,family,none,equal_block_total,154,37,16,0.5223771236190136,0.8179623313700974,-0.2955852077510839,0.2955852077510839
his,pronoun_anchor,P:he,True,full,family,none,equal_block_total,154,37,16,0.4748988498716759,0.7900754163485764,-0.31517656647690045,0.31517656647690045
she,pronoun_anchor,P:she,True,full,family,none,equal_block_total,154,36,16,0.6585574496240352,0.793454409473653,-0.1348969598496178,0.1348969598496178
her_acc,pronoun_anchor,P:she,True,full,family,none,equal_block_total,154,36,16,0.48336855638640347,0.823710403341655,-0.34034184695525155,0.34034184695525155
her_dep,pronoun_anchor,P:she,True,full,family,none,equal_block_total,154,36,16,0.6561730749653273,0.8249482573878322,-0.1687751824225049,0.1687751824225049
hers,pronoun_anchor,P:she,True,full,family,none,equal_block_total,154,36,16,0.467346107425782,0.7853922126945367,-0.31804610526875476,0.31804610526875476
herself,pronoun_anchor,P:she,True,full,family,none,equal_block_total,154,36,16,0.5067239849642866,0.8201692353464731,-0.3134452503821865,0.3134452503821865
it_plain,pronoun_anchor,P:it,True,full,family,none,equal_block_total,154,37,16,0.5572935154419529,0.840788600385285,-0.2834950849433321,0.2834950849433321
it_dum,pronoun_anchor,P:it,True,full,family,none,equal_block_total,154,37,16,0.8278715840337824,0.8063119052755163,0.021559678758266032,-0.021559678758266032
its,pronoun_anchor,P:it,True,full,family,none,equal_block_total,154,37,16,0.552332925335761,0.8212238492838185,-0.2688909239480576,0.2688909239480576
itself,pronoun_anchor,P:it,True,full,family,none,equal_block_total,154,37,16,0.562005297041484,0.7997888843350377,-0.23778358729355364,0.23778358729355364
I,pronoun_anchor,P:I,True,full,family,none,equal_block_total,154,36,16,0.6645316443175121,0.8161394361231514,-0.15160779180563932,0.15160779180563932
me,pronoun_anchor,P:I,True,full,family,none,equal_block_total,154,36,16,0.5025793281299662,0.8582344155608566,-0.35565508743089036,0.35565508743089036
mine,pronoun_anchor,P:I,True,full,family,none,equal_block_total,154,36,16,0.44206545400147523,0.7853922126945367,-0.3433267586930615,0.3433267586930615
my,pronoun_anchor,P:I,True,full,family,none,equal_block_total,154,36,16,0.6572444847880397,0.8418936299156019,-0.18464914512756225,0.18464914512756225
myself,pronoun_anchor,P:I,True,full,family,none,equal_block_total,154,36,16,0.4919506825264544,0.8201692353464731,-0.3282185528200187,0.3282185528200187
their_sing,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.7205370407101749,0.8501743168044997,-0.12963727609432485,0.12963727609432485
theirs_sing,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.5572883115343454,0.8177582127065046,-0.2604699011721592,0.2604699011721592
their_plur,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.7410157984649851,0.867369836887577,-0.12635403842259185,0.12635403842259185
theirs_plur,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.5743561076424845,0.8314744614285481,-0.2571183537860636,0.2571183537860636
them_sing,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.5768266459756887,0.8632464767782198,-0.2864198308025311,0.2864198308025311
them_plur,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.5965815018348924,0.8881186198545402,-0.29153711801964777,0.29153711801964777
themself,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.6032525837285286,0.853905377409087,-0.2506527936805584,0.2506527936805584
themselves,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.6048016547190377,0.8702672614270438,-0.2654656067080061,0.2654656067080061
they_sing,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.7335831403368156,0.8374714715236656,-0.10388833118685004,0.10388833118685004
they_plur,pronoun_anchor,P:they,True,full,family,none,equal_block_total,154,31,16,0.7497940902574501,0.8696131791497219,-0.11981908889227177,0.11981908889227177
we_pron,pronoun_anchor,P:we,True,full,family,none,equal_block_total,154,36,16,0.6454769299403386,0.8065703392761552,-0.16109340933581662,0.16109340933581662
us_pron,pronoun_anchor,P:we,True,full,family,none,equal_block_total,154,36,16,0.48499925954512285,0.8410496026107842,-0.35605034306566136,0.35605034306566136
our,pronoun_anchor,P:we,True,full,family,none,equal_block_total,154,36,16,0.6540832420721199,0.8312429670251748,-0.17715972495305488,0.17715972495305488
ours,pronoun_anchor,P:we,True,full,family,none,equal_block_total,154,36,16,0.4595902777272393,0.7797697898077248,-0.3201795120804855,0.3201795120804855
ourselves,pronoun_anchor,P:we,True,full,family,none,equal_block_total,154,36,16,0.5054271346840455,0.8305250850454233,-0.3250979503613778,0.3250979503613778
you_pron_sing,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.522266248194467,0.8217916180668317,-0.29952536987236467,0.29952536987236467
you_pron_plur,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.5285898880670231,0.8358905711713028,-0.3073006831042797,0.3073006831042797
your_sing,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.6826604605709115,0.828365743732489,-0.1457052831615775,0.1457052831615775
yours_sing,pronoun_anchor,P:you,True,full,family,none,equal_block_total,154,33,16,0.4872780148416119,0.782152950078769,-0.2948749352371571,0.2948749352371571
