lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
me,pronoun_anchor,P:I,True,full,item,none,original_equal_feature,154,40,16,0.5251018423694485,0.8254103533032192,-0.3003085109337707,0.3003085109337707
me,pronoun_anchor,P:I,True,full,family,none,original_equal_feature,154,36,16,0.5304536493886964,0.8254103533032192,-0.2949567039145228,0.2949567039145228
mine,pronoun_anchor,P:I,True,full,item,none,original_equal_feature,154,40,16,0.4487180376377277,0.7386792842136854,-0.2899612465759577,0.2899612465759577
mine,pronoun_anchor,P:I,True,full,family,none,original_equal_feature,154,36,16,0.4468875209589157,0.7386792842136854,-0.2917917632547697,0.2917917632547697
my,pronoun_anchor,P:I,True,full,item,none,original_equal_feature,154,40,16,0.5871887261817653,0.8462358725204688,-0.2590471463387035,0.2590471463387035
my,pronoun_anchor,P:I,True,full,family,none,original_equal_feature,154,36,16,0.5846807544974987,0.8462358725204688,-0.2615551180229701,0.2615551180229701
myself,pronoun_anchor,P:I,True,full,item,none,original_equal_feature,154,40,16,0.5262177395510541,0.7657781804126589,-0.2395604408616047,0.2395604408616047
myself,pronoun_anchor,P:I,True,full,family,none,original_equal_feature,154,36,16,0.524744639641133,0.7657781804126589,-0.2410335407715258,0.2410335407715258
their_sing,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5780491743191783,0.8225295474841754,-0.244480373164997,0.244480373164997
their_sing,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5914909422891269,0.8225295474841754,-0.2310386051950484,0.2310386051950484
theirs_sing,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.4881000380130045,0.7363382052546872,-0.2482381672416826,0.2482381672416826
theirs_sing,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5049553853125748,0.7363382052546872,-0.2313828199421124,0.2313828199421124
their_plur,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.596124537672239,0.8383749516119797,-0.2422504139397406,0.2422504139397406
their_plur,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.6125075481454538,0.8383749516119797,-0.2258674034665259,0.2258674034665259
theirs_plur,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5053583753706657,0.7512284962061749,-0.2458701208355092,0.2458701208355092
theirs_plur,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5255562539486075,0.7512284962061749,-0.2256722422575674,0.2256722422575674
them_sing,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5097879269274885,0.800691344903457,-0.2909034179759684,0.2909034179759684
them_sing,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5226250890017174,0.800691344903457,-0.2780662559017395,0.2780662559017395
them_plur,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5323823432851988,0.8345124490398997,-0.3021301057547009,0.3021301057547009
them_plur,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5540065466251243,0.8345124490398997,-0.2805059024147754,0.2805059024147754
themself,pronoun_anchor,P:they,True,full,item,none,original_equal_feature,154,40,16,0.5512927280874897,0.7657781804126589,-0.2144854523251691,0.2144854523251691
themself,pronoun_anchor,P:they,True,full,family,none,original_equal_feature,154,31,16,0.5622595619389467,0.7657781804126589,-0.2035186184737122,0.2035186184737122
