"lemma","w","mean_log_loss"
"each_other",0.088,0.379768155526202
"each_other",0.089,0.379563101789775
"each_other",0.09,0.379359662146929
"each_other",0.091,0.379157812143663
"each_other",0.092,0.378957527967969
"each_other",0.093,0.378758786426593
"each_other",0.094,0.378561564922873
"each_other",0.095,0.378365841435576
"each_other",0.096,0.378171594498701
"each_other",0.097,0.377978803182182
"each_other",0.098,0.377787447073446
"each_other",0.099,0.377597506259776
"each_other",0.1,0.377408961311445
"each_other",0.101,0.37722179326557
"each_other",0.102,0.377035983610657
"each_other",0.103,0.3768515142718
"each_other",0.104,0.376668367596491
"each_other",0.105,0.376486526341024
"each_other",0.106,0.376305973657455
"each_other",0.107,0.376126693081095
"each_other",0.108,0.375948668518497
"each_other",0.109,0.375771884235939
"each_other",0.11,0.375596324848343
"each_other",0.111,0.375421975308649
"each_other",0.112,0.375248820897586
"each_other",0.113,0.375076847213848
"each_other",0.114,0.374906040164638
"each_other",0.115,0.374736385956576
"each_other",0.116,0.374567871086947
"each_other",0.117,0.374400482335273
"each_other",0.118,0.374234206755201
"each_other",0.119,0.374069031666686
"each_other",0.12,0.373904944648454
"each_other",0.121,0.373741933530749
"each_other",0.122,0.373579986388324
"each_other",0.123,0.373419091533694
"each_other",0.124,0.373259237510621
"each_other",0.125,0.373100413087826
"each_other",0.126,0.372942607252921
"each_other",0.127,0.372785809206548
"each_other",0.128,0.372630008356725
"each_other",0.129,0.372475194313371
"each_other",0.13,0.372321356883029
"each_other",0.131,0.372168486063756
"each_other",0.132,0.372016572040183
"each_other",0.133,0.371865605178748
"each_other",0.134,0.371715576023068
"each_other",0.135,0.371566475289475
"each_other",0.136,0.37141829386269
"each_other",0.137,0.371271022791636
"each_other",0.138,0.371124653285384
"each_other",0.139,0.370979176709228
"each_other",0.14,0.370834584580881
"each_other",0.141,0.370690868566791
"each_other",0.142,0.37054802047857
"each_other",0.143,0.370406032269532
"each_other",0.144,0.370264896031339
"each_other",0.145,0.370124603990746
"each_other",0.146,0.369985148506445
"each_other",0.147,0.369846522066002
"each_other",0.148,0.369708717282887
"each_other",0.149,0.369571726893591
"each_other",0.15,0.369435543754825
"each_other",0.151,0.369300160840805
"each_other",0.152,0.369165571240612
"each_other",0.153,0.369031768155627
"each_other",0.154,0.368898744897045
"each_other",0.155,0.368766494883452
"each_other",0.156,0.368635011638478
"each_other",0.157,0.368504288788507
"each_other",0.158,0.368374320060462
"each_other",0.159,0.368245099279637
"each_other",0.16,0.368116620367604
"each_other",0.161,0.367988877340166
"each_other",0.162,0.367861864305371
"each_other",0.163,0.367735575461577
"each_other",0.164,0.367610005095572
"each_other",0.165,0.367485147580742
"each_other",0.166,0.367360997375285
"each_other",0.167,0.367237549020481
"each_other",0.168,0.367114797138997
"each_other",0.169,0.366992736433243
"each_other",0.17,0.366871361683768
"each_other",0.171,0.3667506677477
"each_other",0.172,0.36663064955722
"each_other",0.173,0.366511302118082
"each_other",0.174,0.366392620508167
"each_other",0.175,0.366274599876073
"each_other",0.176,0.366157235439744
"each_other",0.177,0.366040522485126
"each_other",0.178,0.365924456364867
"each_other",0.179,0.365809032497037
"each_other",0.18,0.36569424636389
"each_other",0.181,0.365580093510648
"each_other",0.182,0.365466569544325
"each_other",0.183,0.365353670132561
"each_other",0.184,0.36524139100251
"each_other",0.185,0.365129727939727
"each_other",0.186,0.365018676787105
"each_other",0.187,0.36490823344382
"each_other",0.188,0.364798393864312
"each_other",0.189,0.364689154057285
"each_other",0.19,0.364580510084729
"each_other",0.191,0.364472458060966
"each_other",0.192,0.364364994151725
"each_other",0.193,0.364258114573224
"each_other",0.194,0.364151815591284
"each_other",0.195,0.364046093520461
"each_other",0.196,0.363940944723197
"each_other",0.197,0.363836365608987
"each_other",0.198,0.363732352633569
"each_other",0.199,0.36362890229813
"each_other",0.2,0.36352601114853
"each_other",0.201,0.363423675774546
"each_other",0.202,0.363321892809125
"each_other",0.203,0.363220658927659
"each_other",0.204,0.363119970847279
"each_other",0.205,0.363019825326157
"each_other",0.206,0.362920219162823
"each_other",0.207,0.362821149195509
"each_other",0.208,0.362722612301488
"each_other",0.209,0.362624605396442
"each_other",0.21,0.362527125433839
"each_other",0.211,0.362430169404319
"each_other",0.212,0.3623337343351
"each_other",0.213,0.362237817289389
"each_other",0.214,0.362142415365813
"each_other",0.215,0.362047525697853
"each_other",0.216,0.361953145453299
"each_other",0.217,0.361859271833708
"each_other",0.218,0.361765902073878
"each_other",0.219,0.361673033441333
"each_other",0.22,0.361580663235813
"each_other",0.221,0.361488788788781
"each_other",0.222,0.361397407462935
"each_other",0.223,0.361306516651733
"each_other",0.224,0.361216113778926
"each_other",0.225,0.361126196298099
"each_other",0.226,0.361036761692224
"each_other",0.227,0.360947807473218
"each_other",0.228,0.360859331181514
"each_other",0.229,0.360771330385638
"each_other",0.23,0.360683802681793
"each_other",0.231,0.360596745693453
"each_other",0.232,0.360510157070964
"each_other",0.233,0.360424034491152
"each_other",0.234,0.360338375656944
"each_other",0.235,0.360253178296984
"each_other",0.236,0.36016844016527
"each_other",0.237,0.360084159040787
"each_other",0.238,0.360000332727158
"each_other",0.239,0.359916959052287
"each_other",0.24,0.359834035868021
"each_other",0.241,0.359751561049816
"each_other",0.242,0.359669532496402
"each_other",0.243,0.359587948129463
"each_other",0.244,0.359506805893319
"each_other",0.245,0.359426103754612
"each_other",0.246,0.359345839702002
"each_other",0.247,0.359266011745864
"each_other",0.248,0.359186617917993
"each_other",0.249,0.359107656271317
"each_other",0.25,0.359029124879608
"each_other",0.251,0.358951021837206
"each_other",0.252,0.35887334525874
"each_other",0.253,0.358796093278862
"each_other",0.254,0.35871926405198
"each_other",0.255,0.358642855751999
"each_other",0.256,0.358566866572062
"each_other",0.257,0.358491294724302
"each_other",0.258,0.358416138439594
"each_other",0.259,0.358341395967309
"each_other",0.26,0.358267065575082
"each_other",0.261,0.358193145548572
"each_other",0.262,0.358119634191232
"each_other",0.263,0.358046529824087
"each_other",0.264,0.357973830785505
"each_other",0.265,0.357901535430984
"each_other",0.266,0.357829642132932
"each_other",0.267,0.35775814928046
"each_other",0.268,0.357687055279169
"each_other",0.269,0.357616358550952
"each_other",0.27,0.357546057533785
"each_other",0.271,0.357476150681536
"each_other",0.272,0.357406636463768
"each_other",0.273,0.357337513365547
"each_other",0.274,0.357268779887256
"each_other",0.275,0.357200434544408
"each_other",0.276,0.357132475867463
"each_other",0.277,0.357064902401655
"each_other",0.278,0.356997712706808
"each_other",0.279,0.356930905357169
"each_other",0.28,0.356864478941233
"each_other",0.281,0.356798432061579
"each_other",0.282,0.356732763334703
"each_other",0.283,0.356667471390856
"each_other",0.284,0.356602554873885
"each_other",0.285,0.356538012441074
"each_other",0.286,0.356473842762992
"each_other",0.287,0.356410044523338
"each_other",0.288,0.356346616418793
"each_other",0.289,0.356283557158871
"each_other",0.29,0.356220865465775
"each_other",0.291,0.356158540074255
"each_other",0.292,0.356096579731464
"each_other",0.293,0.356034983196822
"each_other",0.294,0.355973749241881
"each_other",0.295,0.355912876650186
"each_other",0.296,0.355852364217148
"each_other",0.297,0.35579221074991
"each_other",0.298,0.355732415067221
"each_other",0.299,0.35567297599931
"each_other",0.3,0.355613892387759
"each_other",0.301,0.355555163085383
"each_other",0.302,0.355496786956111
"each_other",0.303,0.355438762874862
"each_other",0.304,0.355381089727434
"each_other",0.305,0.355323766410385
"each_other",0.306,0.35526679183092
"each_other",0.307,0.355210164906781
"each_other",0.308,0.355153884566136
"each_other",0.309,0.355097949747468
"each_other",0.31,0.355042359399475
"each_other",0.311,0.354987112480955
"each_other",0.312,0.354932207960713
"each_other",0.313,0.354877644817448
"each_other",0.314,0.354823422039663
"each_other",0.315,0.354769538625557
"each_other",0.316,0.354715993582932
"each_other",0.317,0.354662785929097
"each_other",0.318,0.354609914690768
"each_other",0.319,0.354557378903981
"each_other",0.32,0.354505177613997
"each_other",0.321,0.35445330987521
"each_other",0.322,0.354401774751059
"each_other",0.323,0.354350571313939
"each_other",0.324,0.354299698645114
"each_other",0.325,0.354249155834632
"each_other",0.326,0.354198941981241
"each_other",0.327,0.354149056192304
"each_other",0.328,0.354099497583717
"each_other",0.329,0.354050265279829
"each_other",0.33,0.354001358413364
"each_other",0.331,0.353952776125338
"each_other",0.332,0.353904517564983
"each_other",0.333,0.353856581889675
"each_other",0.334,0.353808968264852
"each_other",0.335,0.353761675863943
"each_other",0.336,0.353714703868294
"each_other",0.337,0.353668051467098
"each_other",0.338,0.353621717857319
"each_other",0.339,0.353575702243628
"each_other",0.34,0.353530003838326
"each_other",0.341,0.353484621861285
"each_other",0.342,0.353439555539872
"each_other",0.343,0.353394804108888
"each_other",0.344,0.353350366810499
"each_other",0.345,0.353306242894176
"each_other",0.346,0.353262431616626
"each_other",0.347,0.353218932241732
"each_other",0.348,0.353175744040493
"each_other",0.349,0.353132866290957
"each_other",0.35,0.353090298278167
"each_other",0.351,0.353048039294098
"each_other",0.352,0.353006088637599
"each_other",0.353,0.352964445614337
"each_other",0.354,0.352923109536737
"each_other",0.355,0.352882079723926
"each_other",0.356,0.352841355501681
"each_other",0.357,0.352800936202372
"each_other",0.358,0.352760821164907
"each_other",0.359,0.352721009734679
"each_other",0.36,0.352681501263515
"each_other",0.361,0.352642295109624
"each_other",0.362,0.352603390637545
"each_other",0.363,0.352564787218097
"each_other",0.364,0.352526484228328
"each_other",0.365,0.352488481051469
"each_other",0.366,0.352450777076882
"each_other",0.367,0.352413371700015
"each_other",0.368,0.352376264322353
"each_other",0.369,0.352339454351374
"each_other",0.37,0.3523029412005
"each_other",0.371,0.352266724289055
"each_other",0.372,0.352230803042216
"each_other",0.373,0.352195176890975
"each_other",0.374,0.352159845272091
"each_other",0.375,0.352124807628048
"each_other",0.376,0.352090063407015
"each_other",0.377,0.3520556120628
"each_other",0.378,0.352021453054814
"each_other",0.379,0.351987585848028
"each_other",0.38,0.351954009912931
"each_other",0.381,0.351920724725494
"each_other",0.382,0.35188772976713
"each_other",0.383,0.351855024524653
"each_other",0.384,0.351822608490246
"each_other",0.385,0.351790481161417
"each_other",0.386,0.351758642040966
"each_other",0.387,0.351727090636947
"each_other",0.388,0.351695826462634
"each_other",0.389,0.351664849036485
"each_other",0.39,0.351634157882104
"each_other",0.391,0.351603752528212
"each_other",0.392,0.351573632508608
"each_other",0.393,0.351543797362138
"each_other",0.394,0.351514246632664
"each_other",0.395,0.351484979869025
"each_other",0.396,0.351455996625013
"each_other",0.397,0.351427296459334
"each_other",0.398,0.351398878935581
"each_other",0.399,0.351370743622204
"each_other",0.4,0.351342890092473
"each_other",0.401,0.351315317924459
"each_other",0.402,0.351288026700991
"each_other",0.403,0.35126101600964
"each_other",0.404,0.351234285442681
"each_other",0.405,0.351207834597068
"each_other",0.406,0.351181663074407
"each_other",0.407,0.351155770480925
"each_other",0.408,0.351130156427447
"each_other",0.409,0.351104820529368
"each_other",0.41,0.351079762406623
"each_other",0.411,0.351054981683665
"each_other",0.412,0.351030477989439
"each_other",0.413,0.351006250957354
"each_other",0.414,0.350982300225261
"each_other",0.415,0.350958625435427
"each_other",0.416,0.350935226234509
"each_other",0.417,0.350912102273535
"each_other",0.418,0.350889253207875
"each_other",0.419,0.350866678697222
"each_other",0.42,0.350844378405565
"each_other",0.421,0.350822352001171
"each_other",0.422,0.350800599156559
"each_other",0.423,0.35077911954848
"each_other",0.424,0.350757912857895
"each_other",0.425,0.350736978769956
"each_other",0.426,0.350716316973979
"each_other",0.427,0.350695927163429
"each_other",0.428,0.3506758090359
"each_other",0.429,0.350655962293091
"each_other",0.43,0.350636386640788
"each_other",0.431,0.350617081788845
"each_other",0.432,0.350598047451166
"each_other",0.433,0.350579283345685
"each_other",0.434,0.350560789194347
"each_other",0.435,0.35054256472309
"each_other",0.436,0.350524609661828
"each_other",0.437,0.350506923744433
"each_other",0.438,0.350489506708717
"each_other",0.439,0.350472358296416
"each_other",0.44,0.350455478253173
"each_other",0.441,0.350438866328519
"each_other",0.442,0.350422522275862
"each_other",0.443,0.350406445852466
"each_other",0.444,0.350390636819438
"each_other",0.445,0.35037509494171
"each_other",0.446,0.350359819988029
"each_other",0.447,0.350344811730936
"each_other",0.448,0.350330069946755
"each_other",0.449,0.350315594415579
"each_other",0.45,0.350301384921251
"each_other",0.451,0.350287441251359
"each_other",0.452,0.350273763197212
"each_other",0.453,0.350260350553834
"each_other",0.454,0.35024720311995
"each_other",0.455,0.35023432069797
"each_other",0.456,0.350221703093977
"each_other",0.457,0.350209350117718
"each_other",0.458,0.350197261582588
"each_other",0.459,0.35018543730562
"each_other",0.46,0.350173877107474
"each_other",0.461,0.350162580812423
"each_other",0.462,0.350151548248344
"each_other",0.463,0.350140779246706
"each_other",0.464,0.350130273642559
"each_other",0.465,0.350120031274527
"each_other",0.466,0.35011005198479
"each_other",0.467,0.350100335619082
"each_other",0.468,0.350090882026678
"each_other",0.469,0.350081691060382
"each_other",0.47,0.350072762576522
"each_other",0.471,0.350064096434938
"each_other",0.472,0.350055692498974
"each_other",0.473,0.350047550635467
"each_other",0.474,0.350039670714744
"each_other",0.475,0.350032052610607
"each_other",0.476,0.35002469620033
"each_other",0.477,0.35001760136465
"each_other",0.478,0.350010767987756
"each_other",0.479,0.350004195957285
"each_other",0.48,0.349997885164317
"each_other",0.481,0.349991835503361
"each_other",0.482,0.349986046872353
"each_other",0.483,0.34998051917265
"each_other",0.484,0.349975252309022
"each_other",0.485,0.349970246189645
"each_other",0.486,0.349965500726095
"each_other",0.487,0.349961015833346
"each_other",0.488,0.34995679142976
"each_other",0.489,0.349952827437083
"each_other",0.49,0.349949123780441
"each_other",0.491,0.349945680388333
"each_other",0.492,0.34994249719263
"each_other",0.493,0.349939574128564
"each_other",0.494,0.34993691113473
"each_other",0.495,0.34993450815308
"each_other",0.496,0.349932365128916
"each_other",0.497,0.34993048201089
"each_other",0.498,0.349928858751001
"each_other",0.499,0.349927495304585
"each_other",0.5,0.349926391630322
"each_other",0.501,0.349925547690223
"each_other",0.502,0.349924963449635
"each_other",0.503,0.349924638877233
"each_other",0.504,0.349924573945022
"each_other",0.505,0.349924768628332
"each_other",0.506,0.349925222905816
"each_other",0.507,0.349925936759448
"each_other",0.508,0.349926910174527
"each_other",0.509,0.349928143139665
"each_other",0.51,0.349929635646797
"each_other",0.511,0.349931387691171
"each_other",0.512,0.349933399271352
"each_other",0.513,0.349935670389223
"each_other",0.514,0.349938201049977
"each_other",0.515,0.349940991262127
"each_other",0.516,0.349944041037498
"each_other",0.517,0.349947350391229
"each_other",0.518,0.349950919341776
"each_other",0.519,0.34995474791091
"each_other",0.52,0.34995883612372
"each_other",0.521,0.34996318400861
"each_other",0.522,0.349967791597305
"each_other",0.523,0.349972658924848
"each_other",0.524,0.349977786029606
"each_other",0.525,0.349983172953267
"each_other",0.526,0.349988819740846
"each_other",0.527,0.349994726440684
"each_other",0.528,0.350000893104452
"each_other",0.529,0.350007319787154
"each_other",0.53,0.350014006547128
"each_other",0.531,0.350020953446051
"each_other",0.532,0.350028160548939
"each_other",0.533,0.350035627924155
"each_other",0.534,0.350043355643409
"each_other",0.535,0.35005134378176
"each_other",0.536,0.350059592417626
"each_other",0.537,0.350068101632783
"each_other",0.538,0.350076871512371
"each_other",0.539,0.350085902144898
"each_other",0.54,0.350095193622248
"each_other",0.541,0.350104746039679
"each_other",0.542,0.350114559495836
"each_other",0.543,0.35012463409275
"each_other",0.544,0.350134969935849
"each_other",0.545,0.350145567133958
"each_other",0.546,0.350156425799309
"each_other",0.547,0.350167546047549
"each_other",0.548,0.35017892799774
"each_other",0.549,0.35019057177237
"each_other",0.55,0.350202477497362
"each_other",0.551,0.350214645302073
"each_other",0.552,0.350227075319311
"each_other",0.553,0.350239767685335
"each_other",0.554,0.350252722539867
"each_other",0.555,0.350265940026098
"each_other",0.556,0.350279420290697
"each_other",0.557,0.350293163483817
"each_other",0.558,0.350307169759109
"each_other",0.559,0.350321439273724
"each_other",0.56,0.350335972188327
"each_other",0.561,0.350350768667104
"each_other",0.562,0.350365828877773
"each_other",0.563,0.350381152991592
"each_other",0.564,0.350396741183368
"each_other",0.565,0.350412593631473
"each_other",0.566,0.350428710517846
"each_other",0.567,0.350445092028011
"each_other",0.568,0.350461738351083
"each_other",0.569,0.350478649679781
"each_other",0.57,0.350495826210441
"each_other",0.571,0.350513268143023
"each_other",0.572,0.350530975681129
"each_other",0.573,0.350548949032008
"each_other",0.574,0.350567188406576
"each_other",0.575,0.350585694019422
"each_other",0.576,0.350604466088825
"each_other",0.577,0.350623504836765
"each_other",0.578,0.350642810488936
"each_other",0.579,0.350662383274762
"each_other",0.58,0.35068222342741
"each_other",0.581,0.350702331183803
"each_other",0.582,0.350722706784633
"each_other",0.583,0.350743350474381
"each_other",0.584,0.350764262501325
"each_other",0.585,0.350785443117562
"each_other",0.586,0.35080689257902
"each_other",0.587,0.35082861114547
"each_other",0.588,0.350850599080551
"each_other",0.589,0.350872856651779
"each_other",0.59,0.350895384130566
"each_other",0.591,0.350918181792237
"each_other",0.592,0.350941249916048
"each_other",0.593,0.3509645887852
"each_other",0.594,0.350988198686861
"each_other",0.595,0.351012079912183
"each_other",0.596,0.351036232756318
"each_other",0.597,0.35106065751844
"each_other",0.598,0.35108535450176
"each_other",0.599,0.35111032401355
"each_other",0.6,0.351135566365158
"each_other",0.601,0.351161081872032
"each_other",0.602,0.351186870853737
"each_other",0.603,0.351212933633978
"each_other",0.604,0.351239270540619
"each_other",0.605,0.351265881905705
"each_other",0.606,0.351292768065485
"each_other",0.607,0.351319929360429
"each_other",0.608,0.351347366135257
"each_other",0.609,0.351375078738958
"each_other",0.61,0.351403067524811
"each_other",0.611,0.351431332850413
"each_other",0.612,0.351459875077698
"each_other",0.613,0.351488694572965
"each_other",0.614,0.351517791706899
"each_other",0.615,0.351547166854598
"each_other",0.616,0.351576820395597
"each_other",0.617,0.351606752713893
"each_other",0.618,0.351636964197975
"each_other",0.619,0.351667455240843
"each_other",0.62,0.351698226240041
"each_other",0.621,0.35172927759768
"each_other",0.622,0.35176060972047
"each_other",0.623,0.351792223019741
"each_other",0.624,0.351824117911479
"each_other",0.625,0.351856294816349
"each_other",0.626,0.351888754159726
