"fused","pron","T_obs","T0","p_two_sided","subset"
"we_det;someone;nobody;anyone;everybody;you_det","whoever_s;hers;me;whose_rel;they_plur;my",0.0435100758314008,-0.00343128804147471,0.0777844431113777,"rotation"
"somebody;someone;nobody;us_det;everybody;you_det","whoever_s;one_s;himself;we_pron;theirs_sing;us_pron",0.017882837986369,-0.00962063482084808,0.290541891621676,"rotation"
"somebody;us_det;anyone;someone;nobody;everyone","him;ourselves;whosoever;yesterday;our;yours_plur",0.0409699126698821,-0.00616461934351562,0.0739852029594081,"rotation"
"nobody;anyone;everyone;someone;no_one;us_det","whose_int;them_sing;he;him;whatever_pron;yourself",0.0437719162630737,-0.00203866936106522,0.0903819236152769,"rotation"
"anybody;anyone;somebody;nobody;we_det;you_det","you_pron_sing;whosoever_s;we_pron;ourselves;yourself;I",0.00361364643688433,-0.00528117439137086,0.739452109578084,"rotation"
"anyone;somebody;you_det;no_one;anybody;us_det","whosever;himself;tomorrow;which_rel_pron;whose_rel;oneself",-0.0269184594117995,0.00533460135955675,0.233353329334133,"rotation"
"us_det;everyone;no_one;everybody;you_det;someone","our;there;themself;her_acc;who_int;you_pron_sing",0.0946181579881525,0.020659798196246,0.00659868026394721,"rotation"
"no_one;somebody;everyone;everybody;we_det;you_det","who_int;himself;ours;whoever;herself;themself",-0.0212025901797977,-0.00692478642198869,0.580483903219356,"rotation"
"nobody;us_det;anyone;everybody;someone;you_det","whom_int;ours;they_plur;it_plain;their_sing;them_sing",0.0460133679288748,-0.0031852868249015,0.0655868826234753,"rotation"
"us_det;anyone;somebody;anybody;someone;you_det","them_sing;whosoever_s;one_pron;my;oneself;you_pron_sing",0.039475370537785,-0.00164920604959757,0.125974805038992,"rotation"
"you_det;anyone;somebody;everyone;no_one;nobody","whosever;her_acc;tomorrow;yourselves;what_pron;herself",-0.00213734316396502,-0.00471294850630615,0.921815636872625,"rotation"
"someone;we_det;you_det;everybody;us_det;anybody","whose_int;you_pron_sing;tomorrow;which_rel_pron;their_plur;oneself",-0.00366385571420014,-0.000972176262041605,0.915816836632673,"rotation"
"you_det;us_det;everybody;we_det;nobody;everyone","whoever_s;I;whose_int;themselves;her_acc;she",0.0041700985482907,-0.00116165230816064,0.838232353529294,"rotation"
"someone;anyone;us_det;anybody;everybody;you_det","yours_sing;herself;your_sing;I;one_pron;my",0.0600941319784418,0.000773950524506157,0.0225954809038192,"rotation"
"somebody;someone;everybody;anyone;anybody;no_one","it_plain;what_pron;them_plur;whom_rel;they_plur;ourselves",0.0450007899311305,0.0055496694654894,0.139772045590882,"rotation"
"anyone;you_det;us_det;someone;somebody;anybody","yesterday;one_pron;them_plur;hers;tomorrow;itself",-0.0382924014834352,-0.000279212840353147,0.157568486302739,"rotation"
"no_one;anyone;someone;everybody;nobody;everyone","yesterday;theirs_sing;their_sing;she;him;mine",0.0880894185083718,0.00074473335656211,0.000999800039992002,"rotation"
"everyone;someone;nobody;us_det;everybody;you_det","who_rel;yourselves;their_sing;yours_plur;her_acc;his",0.0302546428340165,-0.0044118121959488,0.180163967206559,"rotation"
"us_det;you_det;anybody;somebody;everybody;nobody","himself;whoever;its;ours;yourselves;their_sing",-0.0103117280624599,-0.00940142590114465,0.971605678864227,"rotation"
"somebody;someone;we_det;anybody;you_det;everybody","ours;herself;hers;them_sing;yesterday;themselves",-0.033494561891943,-0.00865610221792587,0.339932013597281,"rotation"
"anyone;anybody;nobody;we_det;you_det;everyone","what_pron;ours;our;whoever_s;their_plur;whose_int",0.0470591113512836,-0.0104066833054185,0.0237952409518096,"rotation"
"we_det;you_det;anyone;nobody;everybody;somebody","them_sing;she;whosoever;ours;theirs_plur;theirs_sing",0.00914213059777297,-0.00624264025588812,0.565686862627474,"rotation"
"you_det;us_det;anybody;nobody;someone;somebody","hers;her_dep;yesterday;yourself;one_s;their_sing",0.0356732300701225,-0.0105728881001181,0.0775844831033793,"rotation"
"no_one;us_det;anybody;somebody;anyone;everybody","it_plain;he;theirs_sing;me;yourselves;yourself",0.0266898287171141,0.00150796260870679,0.330733853229354,"rotation"
"everyone;everybody;someone;you_det;nobody;we_det","yourselves;herself;ourselves;itself;they_plur;whom_int",-0.0315526926085334,-0.00445300764588514,0.302739452109578,"rotation"
"anyone;you_det;somebody;we_det;no_one;anybody","itself;him;your_sing;yourselves;whoever_s;tomorrow",-0.0158958217366433,-0.00664492129431093,0.731853629274145,"rotation"
"nobody;someone;everyone;everybody;somebody;no_one","there;myself;tonight;whatever_pron;her_acc;hers",0.0796229158128067,0.0280702053585827,0.0563887222555489,"rotation"
